name,hex,link
Lichtblau,#3b83bd,
Lichtgrau,#d7d7d7,
Lichtgrün,#84c3be,
Magentarot,#fe01fe,undefined
Mahagonibraun,#4c2f27,
Maigrün,#4c9141,
Mais,#fff8dc,undefined
Maisgelb,#e4a010,
Mandelweiß,#ffebcd,undefined
Marineblau,#000080,undefined
Mattes Grau,#696969,undefined
Mausgrau,#646b63,
Melonengelb,#f4a900,
Minttürkis,#497e76,
Minzgrün,#20603d,
Mittelblau,#0000cc,https://de.wikipedia.org//wiki/Blau
Mittelgelb,#fdfd02,https://de.wikipedia.org//wiki/Gelb
Mittelgrün,#20a040,https://de.wikipedia.org//wiki/Mittelgr%C3%BCn
Mittelrot,#ff0040,https://de.wikipedia.org//wiki/Rot#Mittelrot,_Hochrot,_Blutrot
Mitternachtsblau,#191970,undefined
Mittlere Orchideenfarbe,#ba55d3,undefined
Mittleres Aquamarinblau,#66cdaa,undefined
Mittleres Frühlingsgrün,#00fa9a,undefined
Mittleres Schieferblau,#7b68ee,undefined
Mittleres Seegrün,#3cb371,undefined
Mittleres Türkis,#48d1cc,undefined
Mittleres Violett,#9370db,undefined
Mittleres Violettrot,#c71585,undefined
Moosgrau,#6c7059,
Moosgrün,#2f4538,
Muschel,#fff5ee,undefined
Nachtblau,#252850,
Narzissengelb,#dc9d00,
Navajoweiß,#ffdead,undefined
Nussbraun,#5b3a29,
Ocker,#dba621,https://de.wikipedia.org//wiki/Ocker
Ockerbraun,#955f20,
Ockergelb,#aea04b,
Olivbraun,#6f4f28,
Olivfarbiges Graubraun,#6b8e23,undefined
Olivgelb,#999950,
Olivgrau,#7e7b52,
Olivgrün,#424632,
Opalgrün,#015d52,
Orange,#ffa500,undefined
Orangebraun,#a65e2e,
Orangenrot,#ff4500,undefined
Orchidee,#da70d6,undefined
Orientrot,#b32428,
Oxidrot,#642424,
Ozeanblau,#1d334a,
Papyrusweiß,#d8d8d8,
Pariserblau,#4040ff,https://de.wikipedia.org//wiki/Pariserblau
Pastellblau,#5d9b9b,
Pastellgelb,#efa94a,
Pastellorange,#ff7514,
Pastelltürkis,#7fb5b5,
Pastellviolett,#a18594,
Patinagrün,#316650,
Paynesgrau,#293c42,https://de.wikipedia.org//wiki/Paynesgrau
Pechschwarz,#202128,https://github.com/meodai/noms-de-couleur/#authors-undefined
Perlbeige,#6a5d4d,
Perlbrombeer,#6c6874,
Perldunkelgrau,#828282,
Perlenzian,#2a6478,
Perlgold,#705335,
Perlgrün,#1c542d,
Perlhellgrau,#9c9c9c,
Perlkupfer,#763c28,
Perlmausgrau,#898176,
Perlnachtblau,#102c54,
Perlopalgrün,#193737,
Perlorange,#c35831,
Perlrosa,#b44c43,
Perlrubinrot,#721422,
Perlviolett,#8673a1,
Perlweiß,#eae6ca,
Peru,#cd853f,undefined
Pfirsich,#ffdab9,undefined
Pflaume,#dda0dd,undefined
Phthalogrün,#123524,https://de.wikipedia.org/wiki/Liste_der_Farben_im_Farbkreis
Platingrau,#7f7679,
Preußischblau,#003153,https://de.wikipedia.org//wiki/Berliner_Blau
Purpurrot,#75151e,
Purpurviolett,#4a192c,
Quarzgrau,#6c6960,
Quietschgelb,#f2ea4f,https://github.com/meodai/noms-de-couleur/#authors-undefined
Rabenschwarz,#141313,https://github.com/meodai/noms-de-couleur/#authors-undefined
Rapsgelb,#f3da0b,
Rauchiges Weiß,#f5f5f5,undefined
Rehbraun,#59351f,
Reingrün,#008f39,
Reinorange,#f44611,
Reinrot,#cb3234,
Reinweiß,#ffffff,
Resedagrün,#587246,
Rosa,#ffc0cb,undefined
Rosige Lavenderfarbe,#fff0f5,undefined
Rosiges Braun,#bc8f8f,undefined
Rosé,#e63244,
Rot,#ff0000,undefined
Rotbraun,#592321,
Rotlila,#6d3f5b,
Rotorange,#c93c20,
